conversation_id,n_rows,n_text_qc_flagged,starter,condition,exclude_first_human_qc_flagged,exclude_for_text_qc
conv_6905230df0c881959efd67e9952278d00a75fe02c72ff408,5,0,author_1,berlin,False,False
conv_69052512fe70819695d140a28c241f1c0fbde69f67509578,1,0,author_1,berlin,False,False
conv_690525d451c0819088536b0a9cead04704ea0cdaeb30093a,2,0,author_1,berlin,False,False
conv_69052659077081948fb742a314f28ddd0ef103f62f6c10c1,5,0,author_1,berlin,False,False
conv_6905272737e48197ba37d3f5aada0b7e0a31538878885330,5,0,author_1,berlin,False,False
conv_690529cf949881908719c47c440fc9d8057333d68cfe58ec,5,0,author_1,berlin,False,False
conv_69052b30239081959a013cb6bb361071020a731d734c9b24,1,0,author_1,berlin,False,False
conv_69052b9284e48190a6519434446e8afc01011fa7a4b6fa5f,5,0,author_1,berlin,False,False
conv_69052c8a08a0819398a33a3e67cb3653048e803a3adf1baf,4,4,author_1,berlin,True,True
conv_69052d61a120819495f8bd381744eaa70e550f3b04cb72cb,1,0,author_1,berlin,False,False
conv_69052ddaa808819483c354658c959d7007859f18c973ca4b,5,0,author_1,berlin,False,False
conv_6905302074f48195818b4ce6f6b1a9220ac49c866df35ed2,2,0,author_1,berlin,False,False
conv_6905dc286ee881908d133ab7467686300193fe3ec0628faa,5,0,author_1,berlin,False,False
conv_6905dc43d4c88197ac6045bca660fbed04627ca3eafc0548,5,0,author_1,berlin,False,False
conv_6905de9cdae88194b66a053a9739f45e05d5dc07ffe8cb09,4,0,author_1,berlin,False,False
conv_6905df07dbdc81939e06d287cf68a38409bc33370d883ac7,5,0,author_1,berlin,False,False
conv_6905dfb2c8ec81969f7ad306a899969f092eae5e92ab0308,5,0,author_1,berlin,False,False
conv_6905e09a79a08193a8348a8b26dc143101cc0798150d25d0,5,0,author_1,berlin,False,False
conv_6905e1dc3b8881969005afdb701e039b0496e71c3d8a97d5,5,0,author_1,berlin,False,False
conv_6905e285620c8195b356e8c3a6c62ac507897a0317ffcea5,4,0,author_1,berlin,False,False
conv_6905e37bcb208195896cd5908d69bf92087e1372ae89a61a,5,0,author_1,berlin,False,False
conv_6905e41933c48195b6271bf071e038c5065ebea084c20a6c,1,1,author_1,berlin,True,True
conv_6905e4b7f2188190992b9fc2f0becd5f0ea1a6767a4f7c28,1,1,author_1,berlin,True,True
conv_6905e5457f448196bf229a025b7b8cbb03e6e1b2959e65f9,5,0,author_1,berlin,False,False
conv_6905e5e0be948195aac46772fc95d15b0b7f2bc41c07b530,1,0,author_1,berlin,False,False
conv_6905e66382c88195b9ffca841edf8672011c2316082f14a4,5,0,author_1,berlin,False,False
conv_6905e6ac6bd08197bb9db06194332c280f919e5531afe589,4,4,author_1,berlin,True,True
conv_6905e81e86bc81908fd4e72d4704770b00a59cdc393f19dc,5,0,author_1,berlin,False,False
conv_6905e843257081978ca5c257e2f0e6e30a778d08bcf9f524,4,0,author_1,berlin,False,False
conv_6905e9736af8819093149d926b45f55402f60e89df5fad5a,4,0,author_1,berlin,False,False
conv_6905e99599108194ba9082e997ce939807f65ba2d266fcf8,5,0,author_1,berlin,False,False
conv_6905ea7f22348190b0b8c790e829d5e90620cd1a6d42c2b5,4,0,author_1,berlin,False,False
conv_6905eb7a906c8190b7eadf5b78fbba0f0447ddd6432edc17,1,0,author_1,berlin,False,False
conv_6905ec0339608197909090adad84dc1106d47cd2cb498d69,3,0,author_1,berlin,False,False
conv_6905ed648f60819680b6013d60fb95720e86eb75705b253a,4,0,author_1,berlin,False,False
conv_6905ed807fc0819597cb065fdeb76a6101861c2cbf9080df,4,0,author_1,berlin,False,False
conv_6905eee9ff148194b2fe52b996ba0727057b697b2d646434,5,0,author_1,berlin,False,False
conv_6905ef65a02881938f0f143f2d781b340bfc5aacf481a787,5,0,author_1,berlin,False,False
conv_6905f0e8e3088194b2a214e2c14e9bc5033a9fcb30f58249,5,0,author_1,berlin,False,False
conv_6905f2c361008196b2fa55a4462ac8f9070d381a7aeb1fba,5,0,author_1,berlin,False,False
conv_6905f2f7a3e48195bae2fc58c47295e008611db5d121135e,5,0,author_1,berlin,False,False
conv_6905f405fb28819583512186d33cd77008df98f5136d1c2f,5,0,author_1,berlin,False,False
conv_6905f477f2508190bc3ca5a2eb48395407811e713642fec3,5,0,author_1,berlin,False,False
conv_6905f5f8ed60819099e143bac867ed4300ec77e3d606d0d3,5,0,author_1,berlin,False,False
conv_6905f7c3c5588195a6022643de45745a0112e427363fe5a4,5,0,author_1,berlin,False,False
conv_6905f90be7d88194b0db5860a48c8f5c0697256905e6fe66,5,0,author_1,berlin,False,False
conv_6905f953f5f88196b26cf7b27522a03f0dbd014bcd10c3f1,5,0,author_1,berlin,False,False
conv_6905fb11c3fc8195be9e2153216623d600bf65ae89015485,2,1,author_1,berlin,False,False
